Seq#,tTrig,StPos,Tvp,Tva,Trnout,Tmot,EndPos,LagPos,TgtPos,MotErr,DifPos,Tgt+/-,Rot,Ttotal
293,3561,8177,9,9,120,129,8188,8188,3,0,0,-7,1,510
294,3563,8188,12,12,120,132,8175,8175,8168,0,0,7,0,513
295,3564,8175,38,38,130,168,8128,8128,8129,0,0,-1,0,539
296,3565,8128,16,16,130,146,8152,8152,8154,0,0,-2,1,517
297,3566,8152,21,21,140,161,8186,8186,8183,0,0,3,1,522
298,3567,8186,7,7,110,117,5,5,10,0,0,-5,1,508
299,3568,5,2,0,40,40,5,5,8187,0,0,10,0,501
300,3569,5,26,26,140,166,8171,8171,8163,0,0,8,0,527
301,3570,8171,26,26,130,156,8133,8133,8137,0,0,-4,0,527
302,3571,8133,4,0,40,40,8133,8133,8121,0,0,12,0,501
303,3572,8133,17,16,130,146,8105,8104,8108,1,-1,-4,0,517
304,3573,8104,9,9,120,129,8119,8119,8122,0,0,-3,1,510
305,3574,8119,11,11,130,141,8141,8141,8139,0,0,2,1,512
306,3575,8141,12,12,130,142,8163,8163,8162,0,0,1,1,513
307,3576,8163,3,0,40,40,8163,8163,8174,0,0,-11,1,501
308,3577,8163,19,19,130,149,3,3,0,0,0,3,1,520
309,3578,3,11,11,130,141,26,26,23,0,0,3,1,512
310,3580,26,7,7,40,47,26,24,11,2,-2,13,0,508
311,3581,24,20,20,130,150,8186,8186,8188,0,0,-2,0,521
312,3582,8186,12,12,130,142,8163,8162,8166,1,-1,-4,0,513
313,3583,8162,10,11,120,131,8175,8176,8181,1,1,-5,1,511
314,3584,8176,11,11,120,131,4,4,4,0,0,0,1,512
315,3585,4,17,17,130,147,29,29,31,0,0,-2,1,518
316,3586,29,28,29,140,169,69,69,68,0,0,1,1,529
317,3587,69,24,24,130,154,106,107,104,0,1,3,1,525
318,3588,107,3,0,40,40,106,107,118,1,1,-11,1,501
319,3589,107,8,8,120,128,97,97,91,0,0,6,0,509
320,3590,97,33,33,130,163,59,58,56,1,-1,2,0,534
321,3591,58,20,20,140,160,29,29,30,0,0,-1,0,520
322,3592,29,9,9,120,129,39,39,47,0,0,-8,1,510
323,3593,39,26,26,130,156,76,76,76,0,0,0,1,527
324,3594,76,24,25,130,155,113,114,111,0,1,3,1,525
325,3596,113,19,19,130,149,144,145,142,0,1,3,1,520
326,3597,145,8,8,110,118,158,159,162,0,1,-3,1,509
327,3598,158,10,10,120,130,145,145,140,0,0,5,0,511
328,3599,144,35,35,140,175,102,102,101,0,0,1,0,536
329,3600,102,41,41,130,171,56,55,53,0,-1,2,0,542
330,3601,56,38,38,130,168,11,11,10,0,0,1,0,539
331,3602,11,21,21,130,151,8174,8174,8174,0,0,0,0,522
332,3603,8174,3,0,40,40,8174,8174,8163,0,0,11,0,501
333,3604,8174,0,0,40,40,8174,8174,8175,0,0,-1,1,501
334,3605,8174,8,8,110,118,8181,8181,8191,1,0,-10,1,509
335,3606,8182,11,11,120,131,6,6,10,0,0,-4,1,512
336,3607,6,3,0,40,40,6,6,8187,0,0,11,0,502
337,3608,6,33,33,130,163,8168,8168,8157,0,0,11,0,534
338,3609,8168,0,0,40,40,8168,8168,8175,0,0,-7,1,501
339,3610,8168,0,0,40,40,8168,8168,8162,0,0,6,0,501
340,3611,8168,21,21,130,151,8138,8138,8139,0,0,-1,0,522
341,3613,8138,2,0,40,40,8138,8138,8128,0,0,10,0,501
342,3614,8138,18,18,130,148,8112,8112,8112,0,0,0,0,519
343,3615,8112,11,11,130,141,8094,8093,8093,1,-1,0,0,512
344,3616,8093,8,8,120,128,8082,8082,8077,1,0,5,0,509
345,3617,8082,9,10,120,130,8097,8097,8100,0,0,-3,1,510
346,3618,8097,8,8,120,128,8087,8087,8081,0,0,6,0,509
347,3619,8087,19,19,130,149,8058,8058,8060,0,0,-2,0,520
348,3620,8058,3,0,40,40,8058,8058,8047,0,0,11,0,501
349,3621,8058,0,0,40,40,8058,8058,8058,0,0,0,0,501
350,3622,8058,5,0,40,40,8058,8058,8072,0,0,-14,1,501
351,3623,8058,19,18,140,158,8088,8088,8087,0,0,1,1,520
352,3624,8088,7,7,110,117,8098,8098,8104,0,0,-6,1,508
353,3625,8098,15,15,120,135,8122,8123,8123,0,1,0,1,516
354,3626,8123,15,15,120,135,8146,8146,8148,0,0,-2,1,516
355,3627,8146,24,24,130,154,8176,8177,8181,1,1,-4,1,525
356,3629,8177,31,31,130,161,27,27,27,0,0,0,1,532
357,3630,28,31,31,140,171,72,72,70,0,0,2,1,532
358,3631,72,0,0,40,40,72,72,79,0,0,-7,1,501
359,3632,72,0,0,40,40,72,72,65,0,0,7,0,501
360,3633,72,26,26,140,166,43,43,38,0,0,5,0,527
361,3634,43,37,37,130,167,0,0,8190,0,0,2,0,537
362,3635,0,32,32,130,162,8152,8152,8152,1,0,0,0,533
363,3636,8152,4,0,40,40,8152,8151,8140,0,-1,11,0,501
364,3637,8151,8,9,120,129,8161,8161,8168,0,0,-7,1,510
365,3638,8161,29,29,130,159,5,5,9,0,0,-4,1,530
366,3639,5,36,36,140,176,53,53,53,1,0,0,1,537
367,3640,52,14,14,120,134,35,36,30,0,1,6,0,515
368,3641,35,31,31,130,161,8191,8191,8188,0,0,3,0,532
369,3642,8191,35,35,130,165,8148,8148,8148,0,0,0,0,536
370,3643,8148,34,34,130,164,8105,8105,8106,0,0,-1,0,535
371,3644,8105,31,31,130,161,8064,8064,8066,0,0,-2,0,532
372,3646,8063,25,25,130,155,8029,8029,8030,0,0,-1,0,526
373,3647,8029,5,0,40,40,8029,8029,8043,0,0,-14,1,501
374,3648,8029,36,36,140,176,8074,8074,8077,0,0,-3,1,537
375,3649,8074,40,40,140,180,8128,8128,8126,0,0,2,1,541
376,3650,8128,36,36,140,176,8175,8175,8176,0,0,-1,1,537
377,3651,8175,28,29,130,159,22,22,22,1,0,0,1,529
378,3652,22,13,13,120,133,44,45,44,0,1,1,1,514
379,3653,44,3,0,40,40,44,44,33,0,0,11,0,501
380,3654,44,25,24,120,144,21,21,11,0,0,10,0,525
381,3655,21,17,17,130,147,8187,8187,8188,0,0,-1,0,518
382,3656,8187,6,6,40,46,8187,8187,10,0,0,-15,1,508
383,3657,8187,26,26,140,166,30,30,32,0,0,-2,1,527
384,3658,30,20,20,130,150,61,61,60,0,0,1,1,521
385,3659,61,21,21,130,151,94,94,92,0,0,2,1,522
386,3660,94,5,0,40,40,94,94,81,0,0,13,0,501
387,3662,94,26,26,120,146,64,63,60,0,-1,3,0,527
388,3663,63,16,16,130,146,39,38,39,1,-1,-1,0,517
389,3664,38,12,12,130,142,18,18,18,0,0,0,0,513
390,3665,19,14,13,130,143,8187,8187,8189,0,0,-2,0,515
391,3666,8187,13,13,130,143,8164,8164,8166,0,0,-2,0,514
392,3667,8164,6,6,40,46,8164,8166,8179,2,2,-13,1,507
393,3668,8166,29,29,130,159,8,8,14,0,0,-6,1,530
394,3669,8,22,22,130,152,43,43,40,0,0,3,1,523
395,3670,43,8,7,120,127,59,59,60,0,0,-1,1,508
396,3671,58,13,13,130,143,83,83,80,0,0,3,1,514
397,3672,83,11,11,130,141,106,106,103,0,0,3,1,512
398,3673,106,18,18,140,158,141,141,134,1,0,7,1,519
399,3674,141,13,13,120,133,120,120,120,0,0,0,0,514
400,3675,120,21,21,130,151,91,91,91,0,0,0,0,521
401,3676,91,10,10,130,140,70,70,73,0,0,-3,0,511
402,3677,70,13,13,130,143,49,48,49,1,-1,-1,0,514
403,3679,48,20,20,140,160,19,18,20,0,-1,-2,0,521
404,3680,19,26,26,130,156,8174,8174,8177,0,0,-3,0,527
405,3681,8174,19,18,130,148,8142,8142,8147,0,0,-5,0,520
406,3682,8142,3,0,40,40,8142,8142,8131,0,0,11,0,501
407,3683,8142,4,0,40,40,8142,8142,8155,0,0,-13,1,502
408,3684,8142,43,43,140,183,0,0,5,0,0,-5,1,544
409,3685,0,34,34,130,164,45,45,45,0,0,0,1,535
410,3686,45,11,11,130,141,67,67,65,0,0,2,1,511
411,3687,67,22,22,140,162,39,39,37,0,0,2,0,523
412,3688,39,37,37,140,177,8186,8186,8186,1,0,0,0,538
413,3689,8185,39,39,130,169,8133,8133,8138,0,0,-5,0,540
414,3690,8133,30,30,130,160,8092,8092,8095,0,0,-3,0,531
415,3691,8092,29,29,130,159,8054,8054,8055,0,0,-1,0,530
416,3692,8054,25,25,140,165,8022,8021,8021,1,-1,0,0,526
417,3693,8021,9,8,120,128,8004,8004,8004,0,0,0,0,509
418,3695,8004,14,14,130,144,8027,8027,8027,0,0,0,1,515
419,3696,8027,20,20,130,150,8057,8058,8057,1,1,1,1,521
420,3697,8058,23,23,130,153,8091,8091,8091,0,0,0,1,524
